,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
59,Rob Letterman,Rob Letterman,Rob Letterman,Rob Letterman,Action Adventure Animation Comedy Family Sci-Fi,monsters vs. aliens,Rob Letterman Rob Letterman Rob Letterman Rob Letterman Action Adventure Animation Comedy Family Sci-Fi
60,Jon Favreau,Jon Favreau,Jon Favreau,Jon Favreau,Action Adventure Sci-Fi,iron man,Jon Favreau Jon Favreau Jon Favreau Jon Favreau Action Adventure Sci-Fi
61,Martin Scorsese,Martin Scorsese,Martin Scorsese,Martin Scorsese,Adventure Drama Family Mystery,hugo,Martin Scorsese Martin Scorsese Martin Scorsese Martin Scorsese Adventure Drama Family Mystery
62,Barry Sonnenfeld,Barry Sonnenfeld,Barry Sonnenfeld,Barry Sonnenfeld,Action Comedy Sci-Fi Western,wild wild west,Barry Sonnenfeld Barry Sonnenfeld Barry Sonnenfeld Barry Sonnenfeld Action Comedy Sci-Fi Western
63,Rob Cohen,Rob Cohen,Rob Cohen,Rob Cohen,Action Adventure Fantasy Horror Thriller,the mummy: tomb of the dragon emperor,Rob Cohen Rob Cohen Rob Cohen Rob Cohen Action Adventure Fantasy Horror Thriller
64,David Ayer,David Ayer,David Ayer,David Ayer,Action Adventure Comedy Sci-Fi,suicide squad,David Ayer David Ayer David Ayer David Ayer Action Adventure Comedy Sci-Fi
65,Tom Shadyac,Tom Shadyac,Tom Shadyac,Tom Shadyac,Comedy Family Fantasy,evan almighty,Tom Shadyac Tom Shadyac Tom Shadyac Tom Shadyac Comedy Family Fantasy
66,Doug Liman,Doug Liman,Doug Liman,Doug Liman,Action Adventure Sci-Fi,edge of tomorrow,Doug Liman Doug Liman Doug Liman Doug Liman Action Adventure Sci-Fi
67,Kevin Reynolds,Kevin Reynolds,Kevin Reynolds,Kevin Reynolds,Action Adventure Sci-Fi Thriller,waterworld,Kevin Reynolds Kevin Reynolds Kevin Reynolds Kevin Reynolds Action Adventure Sci-Fi Thriller
68,Stephen Sommers,Stephen Sommers,Stephen Sommers,Stephen Sommers,Action Adventure Sci-Fi Thriller,g.i. joe: the rise of cobra,Stephen Sommers Stephen Sommers Stephen Sommers Stephen Sommers Action Adventure Sci-Fi Thriller
69,Pete Docter,Pete Docter,Pete Docter,Pete Docter,Adventure Animation Comedy Drama Family Fantasy,inside out,Pete Docter Pete Docter Pete Docter Pete Docter Adventure Animation Comedy Drama Family Fantasy
70,Jon Favreau,Jon Favreau,Jon Favreau,Jon Favreau,Action Adventure Sci-Fi,iron man 2,Jon Favreau Jon Favreau Jon Favreau Jon Favreau Action Adventure Sci-Fi
71,Rupert Sanders,Rupert Sanders,Rupert Sanders,Rupert Sanders,Action Adventure Drama Fantasy,snow white and the huntsman,Rupert Sanders Rupert Sanders Rupert Sanders Rupert Sanders Action Adventure Drama Fantasy
72,Robert Stromberg,Robert Stromberg,Robert Stromberg,Robert Stromberg,Action Adventure Family Fantasy Romance,maleficent,Robert Stromberg Robert Stromberg Robert Stromberg Robert Stromberg Action Adventure Family Fantasy Romance
73,Matt Reeves,Matt Reeves,Matt Reeves,Matt Reeves,Action Adventure Drama Sci-Fi,dawn of the planet of the apes,Matt Reeves Matt Reeves Matt Reeves Matt Reeves Action Adventure Drama Sci-Fi
74,Carl Rinsch,Carl Rinsch,Carl Rinsch,Carl Rinsch,Action Adventure Drama Fantasy,47 ronin,Carl Rinsch Carl Rinsch Carl Rinsch Carl Rinsch Action Adventure Drama Fantasy
75,Anthony Russo,Anthony Russo,Anthony Russo,Anthony Russo,Action Adventure Sci-Fi,captain america: the winter soldier,Anthony Russo Anthony Russo Anthony Russo Anthony Russo Action Adventure Sci-Fi
76,Mike Mitchell,Mike Mitchell,Mike Mitchell,Mike Mitchell,Adventure Animation Comedy Family Fantasy,shrek forever after,Mike Mitchell Mike Mitchell Mike Mitchell Mike Mitchell Adventure Animation Comedy Family Fantasy
77,Brad Bird,Brad Bird,Brad Bird,Brad Bird,Action Adventure Family Mystery Sci-Fi,tomorrowland,Brad Bird Brad Bird Brad Bird Brad Bird Action Adventure Family Mystery Sci-Fi
78,Don Hall,Don Hall,Don Hall,Don Hall,Action Adventure Animation Comedy Drama Family Sci-Fi,big hero 6,Don Hall Don Hall Don Hall Don Hall Action Adventure Animation Comedy Drama Family Sci-Fi
79,Rich Moore,Rich Moore,Rich Moore,Rich Moore,Adventure Animation Comedy Family Sci-Fi,wreck-it ralph,Rich Moore Rich Moore Rich Moore Rich Moore Adventure Animation Comedy Family Sci-Fi
80,Robert Zemeckis,Robert Zemeckis,Robert Zemeckis,Robert Zemeckis,Adventure Animation Family Fantasy,the polar express,Robert Zemeckis Robert Zemeckis Robert Zemeckis Robert Zemeckis Adventure Animation Family Fantasy
81,Roland Emmerich,Roland Emmerich,Roland Emmerich,Roland Emmerich,Action Adventure Sci-Fi,independence day: resurgence,Roland Emmerich Roland Emmerich Roland Emmerich Roland Emmerich Action Adventure Sci-Fi
82,Dean DeBlois,Dean DeBlois,Dean DeBlois,Dean DeBlois,Adventure Animation Family Fantasy,how to train your dragon,Dean DeBlois Dean DeBlois Dean DeBlois Dean DeBlois Adventure Animation Family Fantasy
83,Jonathan Mostow,Jonathan Mostow,Jonathan Mostow,Jonathan Mostow,Action Sci-Fi,terminator 3: rise of the machines,Jonathan Mostow Jonathan Mostow Jonathan Mostow Jonathan Mostow Action Sci-Fi
84,James Gunn,James Gunn,James Gunn,James Gunn,Action Adventure Sci-Fi,guardians of the galaxy,James Gunn James Gunn James Gunn James Gunn Action Adventure Sci-Fi
85,Christopher Nolan,Christopher Nolan,Christopher Nolan,Christopher Nolan,Adventure Drama Sci-Fi,interstellar,Christopher Nolan Christopher Nolan Christopher Nolan Christopher Nolan Adventure Drama Sci-Fi
86,Christopher Nolan,Christopher Nolan,Christopher Nolan,Christopher Nolan,Action Adventure Sci-Fi Thriller,inception,Christopher Nolan Christopher Nolan Christopher Nolan Christopher Nolan Action Adventure Sci-Fi Thriller
87,Peter Jackson,Peter Jackson,Peter Jackson,Peter Jackson,Adventure Fantasy,the hobbit: an unexpected journey,Peter Jackson Peter Jackson Peter Jackson Peter Jackson Adventure Fantasy
88,David Fincher,David Fincher,David Fincher,David Fincher,Drama Fantasy Romance,the curious case of benjamin button,David Fincher David Fincher David Fincher David Fincher Drama Fantasy Romance
89,Matthew Vaughn,Matthew Vaughn,Matthew Vaughn,Matthew Vaughn,Action Adventure Sci-Fi,x-men: first class,Matthew Vaughn Matthew Vaughn Matthew Vaughn Matthew Vaughn Action Adventure Sci-Fi
90,Francis Lawrence,Francis Lawrence,Francis Lawrence,Francis Lawrence,Adventure Sci-Fi,the hunger games: mockingjay - part 2,Francis Lawrence Francis Lawrence Francis Lawrence Francis Lawrence Adventure Sci-Fi
91,Jon Turteltaub,Jon Turteltaub,Jon Turteltaub,Jon Turteltaub,Action Adventure Family Fantasy,the sorcerer's apprentice,Jon Turteltaub Jon Turteltaub Jon Turteltaub Jon Turteltaub Action Adventure Family Fantasy
92,Wolfgang Petersen,Wolfgang Petersen,Wolfgang Petersen,Wolfgang Petersen,Action Adventure Drama Thriller,poseidon,Wolfgang Petersen Wolfgang Petersen Wolfgang Petersen Wolfgang Petersen Action Adventure Drama Thriller
93,James Bobin,James Bobin,James Bobin,James Bobin,Adventure Family Fantasy,alice through the looking glass,James Bobin James Bobin James Bobin James Bobin Adventure Family Fantasy
94,Chris Miller,Chris Miller,Chris Miller,Chris Miller,Adventure Animation Comedy Family Fantasy,shrek the third,Chris Miller Chris Miller Chris Miller Chris Miller Adventure Animation Comedy Family Fantasy
95,Duncan Jones,Duncan Jones,Duncan Jones,Duncan Jones,Action Adventure Fantasy,warcraft,Duncan Jones Duncan Jones Duncan Jones Duncan Jones Action Adventure Fantasy
96,Alan Taylor,Alan Taylor,Alan Taylor,Alan Taylor,Action Adventure Sci-Fi,terminator genisys,Alan Taylor Alan Taylor Alan Taylor Alan Taylor Action Adventure Sci-Fi
97,Michael Apted,Michael Apted,Michael Apted,Michael Apted,Adventure Family Fantasy,the chronicles of narnia: the voyage of the dawn treader,Michael Apted Michael Apted Michael Apted Michael Apted Adventure Family Fantasy
98,Michael Bay,Michael Bay,Michael Bay,Michael Bay,Action Drama History Romance War,pearl harbor,Michael Bay Michael Bay Michael Bay Michael Bay Action Drama History Romance War
99,Michael Bay,Michael Bay,Michael Bay,Michael Bay,Action Adventure Sci-Fi,transformers,Michael Bay Michael Bay Michael Bay Michael Bay Action Adventure Sci-Fi
100,Oliver Stone,Oliver Stone,Oliver Stone,Oliver Stone,Action Adventure Biography Drama History Romance War,alexander,Oliver Stone Oliver Stone Oliver Stone Oliver Stone Action Adventure Biography Drama History Romance War
101,David Yates,David Yates,David Yates,David Yates,Adventure Family Fantasy Mystery,harry potter and the order of the phoenix,David Yates David Yates David Yates David Yates Adventure Family Fantasy Mystery
102,Mike Newell,Mike Newell,Mike Newell,Mike Newell,Adventure Family Fantasy Mystery,harry potter and the goblet of fire,Mike Newell Mike Newell Mike Newell Mike Newell Adventure Family Fantasy Mystery
103,Peter Berg,Peter Berg,Peter Berg,Peter Berg,Action Drama,hancock,Peter Berg Peter Berg Peter Berg Peter Berg Action Drama
104,Francis Lawrence,Francis Lawrence,Francis Lawrence,Francis Lawrence,Drama Horror Sci-Fi,i am legend,Francis Lawrence Francis Lawrence Francis Lawrence Francis Lawrence Drama Horror Sci-Fi
105,Tim Burton,Tim Burton,Tim Burton,Tim Burton,Adventure Comedy Family Fantasy,charlie and the chocolate factory,Tim Burton Tim Burton Tim Burton Tim Burton Adventure Comedy Family Fantasy
106,Brad Bird,Brad Bird,Brad Bird,Brad Bird,Animation Comedy Family Fantasy,ratatouille,Brad Bird Brad Bird Brad Bird Brad Bird Animation Comedy Family Fantasy
107,Christopher Nolan,Christopher Nolan,Christopher Nolan,Christopher Nolan,Action Adventure,batman begins,Christopher Nolan Christopher Nolan Christopher Nolan Christopher Nolan Action Adventure
108,Eric Darnell,Eric Darnell,Eric Darnell,Eric Darnell,Action Adventure Animation Comedy Family,madagascar: escape 2 africa,Eric Darnell Eric Darnell Eric Darnell Eric Darnell Action Adventure Animation Comedy Family
109,Shawn Levy,Shawn Levy,Shawn Levy,Shawn Levy,Adventure Comedy Family Fantasy,night at the museum: battle of the smithsonian,Shawn Levy Shawn Levy Shawn Levy Shawn Levy Adventure Comedy Family Fantasy
110,Gavin Hood,Gavin Hood,Gavin Hood,Gavin Hood,Action Adventure Fantasy Sci-Fi Thriller,x-men origins: wolverine,Gavin Hood Gavin Hood Gavin Hood Gavin Hood Action Adventure Fantasy Sci-Fi Thriller
111,Lana Wachowski,Lana Wachowski,Lana Wachowski,Lana Wachowski,Action Sci-Fi,the matrix revolutions,Lana Wachowski Lana Wachowski Lana Wachowski Lana Wachowski Action Sci-Fi
112,Chris Buck,Chris Buck,Chris Buck,Chris Buck,Adventure Animation Comedy Family Fantasy Musical,frozen,Chris Buck Chris Buck Chris Buck Chris Buck Adventure Animation Comedy Family Fantasy Musical
113,Lana Wachowski,Lana Wachowski,Lana Wachowski,Lana Wachowski,Action Sci-Fi,the matrix reloaded,Lana Wachowski Lana Wachowski Lana Wachowski Lana Wachowski Action Sci-Fi
114,Alan Taylor,Alan Taylor,Alan Taylor,Alan Taylor,Action Adventure Fantasy,thor: the dark world,Alan Taylor Alan Taylor Alan Taylor Alan Taylor Action Adventure Fantasy
115,George Miller,George Miller,George Miller,George Miller,Action Adventure Sci-Fi Thriller,mad max: fury road,George Miller George Miller George Miller George Miller Action Adventure Sci-Fi Thriller
116,Ron Howard,Ron Howard,Ron Howard,Ron Howard,Mystery Thriller,angels & demons,Ron Howard Ron Howard Ron Howard Ron Howard Mystery Thriller
117,Kenneth Branagh,Kenneth Branagh,Kenneth Branagh,Kenneth Branagh,Action Adventure Fantasy,thor,Kenneth Branagh Kenneth Branagh Kenneth Branagh Kenneth Branagh Action Adventure Fantasy
118,Byron Howard,Byron Howard,Byron Howard,Byron Howard,Adventure Animation Comedy Drama Family,bolt,Byron Howard Byron Howard Byron Howard Byron Howard Adventure Animation Comedy Drama Family
119,Hoyt Yeatman,Hoyt Yeatman,Hoyt Yeatman,Hoyt Yeatman,Action Adventure Animation Comedy Family Fantasy Sci-Fi,g-force,Hoyt Yeatman Hoyt Yeatman Hoyt Yeatman Hoyt Yeatman Action Adventure Animation Comedy Family Fantasy Sci-Fi
120,Jonathan Liebesman,Jonathan Liebesman,Jonathan Liebesman,Jonathan Liebesman,Action Adventure Fantasy,wrath of the titans,Jonathan Liebesman Jonathan Liebesman Jonathan Liebesman Jonathan Liebesman Action Adventure Fantasy
121,Tim Burton,Tim Burton,Tim Burton,Tim Burton,Comedy Fantasy Horror,dark shadows,Tim Burton Tim Burton Tim Burton Tim Burton Comedy Fantasy Horror
122,Christopher McQuarrie,Christopher McQuarrie,Christopher McQuarrie,Christopher McQuarrie,Action Adventure Thriller,mission: impossible - rogue nation,Christopher McQuarrie Christopher McQuarrie Christopher McQuarrie Christopher McQuarrie Action Adventure Thriller
123,Joe Johnston,Joe Johnston,Joe Johnston,Joe Johnston,Drama Fantasy Horror Thriller,the wolfman,Joe Johnston Joe Johnston Joe Johnston Joe Johnston Drama Fantasy Horror Thriller
124,David Yates,David Yates,David Yates,David Yates,Action Adventure Drama Romance,the legend of tarzan,David Yates David Yates David Yates David Yates Action Adventure Drama Romance
125,Steve Hickner,Steve Hickner,Steve Hickner,Steve Hickner,Adventure Animation Comedy Family,bee movie,Steve Hickner Steve Hickner Steve Hickner Steve Hickner Adventure Animation Comedy Family
126,Jennifer Yuh Nelson,Jennifer Yuh Nelson,Jennifer Yuh Nelson,Jennifer Yuh Nelson,Action Adventure Animation Comedy Family,kung fu panda 2,Jennifer Yuh Nelson Jennifer Yuh Nelson Jennifer Yuh Nelson Jennifer Yuh Nelson Action Adventure Animation Comedy Family
127,M. Night Shyamalan,M. Night Shyamalan,M. Night Shyamalan,M. Night Shyamalan,Action Adventure Family Fantasy,the last airbender,M. Night Shyamalan M. Night Shyamalan M. Night Shyamalan M. Night Shyamalan Action Adventure Family Fantasy
128,J.J. Abrams,J.J. Abrams,J.J. Abrams,J.J. Abrams,Action Adventure Thriller,mission: impossible iii,J.J. Abrams J.J. Abrams J.J. Abrams J.J. Abrams Action Adventure Thriller
129,Roland Emmerich,Roland Emmerich,Roland Emmerich,Roland Emmerich,Action Drama Thriller,white house down,Roland Emmerich Roland Emmerich Roland Emmerich Roland Emmerich Action Drama Thriller
130,Simon Wells,Simon Wells,Simon Wells,Simon Wells,Action Adventure Animation Comedy Family Sci-Fi,mars needs moms,Simon Wells Simon Wells Simon Wells Simon Wells Action Adventure Animation Comedy Family Sci-Fi
131,David Bowers,David Bowers,David Bowers,David Bowers,Adventure Animation Comedy Family,flushed away,David Bowers David Bowers David Bowers David Bowers Adventure Animation Comedy Family
132,Rob Minkoff,Rob Minkoff,Rob Minkoff,Rob Minkoff,Adventure Animation Comedy Family Sci-Fi,mr. peabody & sherman,Rob Minkoff Rob Minkoff Rob Minkoff Rob Minkoff Adventure Animation Comedy Family Sci-Fi
133,Wolfgang Petersen,Wolfgang Petersen,Wolfgang Petersen,Wolfgang Petersen,Adventure,troy,Wolfgang Petersen Wolfgang Petersen Wolfgang Petersen Wolfgang Petersen Adventure
134,Eric Darnell,Eric Darnell,Eric Darnell,Eric Darnell,Adventure Animation Comedy Family,madagascar 3: europe's most wanted,Eric Darnell Eric Darnell Eric Darnell Eric Darnell Adventure Animation Comedy Family
135,Lee Tamahori,Lee Tamahori,Lee Tamahori,Lee Tamahori,Action Adventure Thriller,die another day,Lee Tamahori Lee Tamahori Lee Tamahori Lee Tamahori Action Adventure Thriller
136,Michael Bay,Michael Bay,Michael Bay,Michael Bay,Action Adventure Sci-Fi Thriller,armageddon,Michael Bay Michael Bay Michael Bay Michael Bay Action Adventure Sci-Fi Thriller
